Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Day,Month,Year,Dep_Hr,Dep_Min,Arr_Hr,Arr_Min,Duration_Hr,Duration_Min,Price
Air India,24/06/2019,Chennai,Kolkata,MAA / CCU,11:40,13:55,2:15,0,No Info,24,6,2019,11,40,13,55,2,15,4667
Jet Airways,9/05/2019,Kolkata,Banglore,CCU / BOM / BLR,21:10,09:20,12:10,1,In-flight meal not included,9,5,2019,21,10,9,20,12,10,9663
IndiGo,24/04/2019,Kolkata,Banglore,CCU / BLR,17:15,19:50,2:35,0,No Info,24,4,2019,17,15,19,50,2,35,4804
Air India,3/03/2019,Delhi,Cochin,DEL / AMD / BOM / COK,16:40,19:15,26:35,2,No Info,3,3,2019,16,40,19,15,26,35,14011
SpiceJet,15/04/2019,Delhi,Cochin,DEL / PNQ / COK,08:45,13:15,4:30,1,No Info,15,4,2019,8,45,13,15,4,30,5830
Jet Airways,12/06/2019,Delhi,Cochin,DEL / BOM / COK,14:00,12:35,22:35,1,In-flight meal not included,12,6,2019,14,0,12,35,22,35,10262
Air India,12/06/2019,Delhi,Cochin,DEL / CCU / BOM / COK,20:15,19:15,23h,2,No Info,12,6,2019,20,15,19,15,23,0,13381
Jet Airways,27/05/2019,Delhi,Cochin,DEL / BOM / COK,16:00,12:35,20:35,1,In-flight meal not included,27,5,2019,16,0,12,35,20,35,12898
GoAir,6/03/2019,Delhi,Cochin,DEL / BOM / COK,14:10,19:20,5:10,1,No Info,6,3,2019,14,10,19,20,5,10,19495
Air India,21/03/2019,Banglore,New Delhi,BLR / COK / DEL,22:00,13:20,15:20,1,No Info,21,3,2019,22,0,13,20,15,20,6955
IndiGo,3/04/2019,Banglore,Delhi,BLR / DEL,04:00,06:50,2:50,0,No Info,3,4,2019,4,0,6,50,2,50,3943
IndiGo,1/05/2019,Banglore,Delhi,BLR / DEL,18:55,21:50,2:55,0,No Info,1,5,2019,18,55,21,50,2,55,4823
Jet Airways,6/05/2019,Kolkata,Banglore,CCU / BOM / BLR,18:55,08:15,13:20,1,In-flight meal not included,6,5,2019,18,55,8,15,13,20,7757
Jet Airways,9/06/2019,Delhi,Cochin,DEL / IDR / BOM / COK,21:25,12:35,15:10,2,No Info,9,6,2019,21,25,12,35,15,10,13292
IndiGo,1/06/2019,Delhi,Cochin,DEL / LKO / COK,21:50,03:35,5:45,1,No Info,1,6,2019,21,50,3,35,5,45,8238
GoAir,15/05/2019,Delhi,Cochin,DEL / BOM / COK,07:00,12:55,5:55,1,No Info,15,5,2019,7,0,12,55,5,55,7682
Vistara,18/06/2019,Banglore,Delhi,BLR / DEL,09:45,12:35,2:50,0,No Info,18,6,2019,9,45,12,35,2,50,4668
Vistara,15/06/2019,Chennai,Kolkata,MAA / CCU,07:05,09:20,2:15,0,No Info,15,6,2019,7,5,9,20,2,15,3687
Vistara,18/06/2019,Chennai,Kolkata,MAA / CCU,07:05,09:20,2:15,0,No Info,18,6,2019,7,5,9,20,2,15,3687
Air India,1/05/2019,Kolkata,Banglore,CCU / GAU / DEL / BLR,09:50,23:15,13:25,2,No Info,1,5,2019,9,50,23,15,13,25,13227
IndiGo,6/04/2019,Banglore,Delhi,BLR / DEL,04:00,06:50,2:50,0,No Info,6,4,2019,4,0,6,50,2,50,4423
Jet Airways,15/06/2019,Delhi,Cochin,DEL / NAG / BOM / COK,14:35,12:35,22h,2,In-flight meal not included,15,6,2019,14,35,12,35,22,0,10919
Jet Airways,18/05/2019,Delhi,Cochin,DEL / BOM / COK,07:05,12:35,5:30,1,In-flight meal not included,18,5,2019,7,5,12,35,5,30,12373
IndiGo,27/06/2019,Delhi,Cochin,DEL / BOM / COK,10:35,21:00,10:25,1,No Info,27,6,2019,10,35,21,0,10,25,5894
SpiceJet,21/05/2019,Kolkata,Banglore,CCU / MAA / BLR,15:05,20:20,5:15,1,No Info,21,5,2019,15,5,20,20,5,15,4649
Air India,18/05/2019,Kolkata,Banglore,CCU / BLR,14:15,16:45,2:30,0,No Info,18,5,2019,14,15,16,45,2,30,6245
Jet Airways,06/03/2019,Banglore,New Delhi,BLR / BOM / DEL,07:00,13:15,6:15,1,No Info,6,3,2019,7,0,13,15,6,15,19225
Jet Airways,3/06/2019,Delhi,Cochin,DEL / BOM / COK,07:05,19:00,11:55,1,No Info,3,6,2019,7,5,19,0,11,55,14924
Multiple carriers,21/05/2019,Delhi,Cochin,DEL / HYD / COK,07:05,18:10,11:5,1,No Info,21,5,2019,7,5,18,10,11,5,9646
Air India,15/03/2019,Banglore,New Delhi,BLR / BOM / DEL,06:45,15:15,8:30,1,No Info,15,3,2019,6,45,15,15,8,30,8714
Jet Airways,18/05/2019,Delhi,Cochin,DEL / BOM / COK,20:55,19:00,22:5,1,In-flight meal not included,18,5,2019,20,55,19,0,22,5,12373
Air Asia,6/05/2019,Banglore,Delhi,BLR / DEL,11:10,13:55,2:45,0,No Info,6,5,2019,11,10,13,55,2,45,3383
Multiple carriers,21/03/2019,Delhi,Cochin,DEL / BOM / COK,09:00,21:00,12h,1,No Info,21,3,2019,9,0,21,0,12,0,13062
SpiceJet,24/03/2019,Banglore,New Delhi,BLR / DEL,05:45,08:35,2:50,0,No check-in baggage included,24,3,2019,5,45,8,35,2,50,3527
IndiGo,27/05/2019,Banglore,Delhi,BLR / DEL,04:00,06:50,2:50,0,No Info,27,5,2019,4,0,6,50,2,50,3943
Air India,3/05/2019,Chennai,Kolkata,MAA / CCU,11:40,13:55,2:15,0,No Info,3,5,2019,11,40,13,55,2,15,4667
Air India,15/05/2019,Kolkata,Banglore,CCU / HYD / BLR,19:00,11:05,16:5,1,No Info,15,5,2019,19,0,11,5,16,5,6117
Jet Airways,27/06/2019,Delhi,Cochin,DEL / AMD / BOM / COK,23:05,19:00,19:55,2,In-flight meal not included,27,6,2019,23,5,19,0,19,55,11150
Jet Airways,9/03/2019,Delhi,Cochin,DEL / COK,11:00,14:15,3:15,0,In-flight meal not included,9,3,2019,11,0,14,15,3,15,7202
Jet Airways,1/05/2019,Kolkata,Banglore,CCU / DEL / BLR,09:35,10:55,25:20,1,No Info,1,5,2019,9,35,10,55,25,20,12121
IndiGo,24/03/2019,Banglore,New Delhi,BLR / DEL,22:20,01:10,2:50,0,No Info,24,3,2019,22,20,1,10,2,50,4377
IndiGo,18/06/2019,Banglore,Delhi,BLR / DEL,21:15,00:15,3h,0,No Info,18,6,2019,21,15,0,15,3,0,3943
Air Asia,3/04/2019,Banglore,Delhi,BLR / DEL,23:55,02:45,2:50,0,No Info,3,4,2019,23,55,2,45,2,50,4483
Jet Airways,24/03/2019,Kolkata,Banglore,CCU / BOM / BLR,19:45,12:00,16:15,1,No Info,24,3,2019,19,45,12,0,16,15,14231
Air India,01/03/2019,Banglore,New Delhi,BLR / BOM / AMD / DEL,08:50,23:55,15:5,2,No Info,1,3,2019,8,50,23,55,15,5,17345
Vistara,6/03/2019,Chennai,Kolkata,MAA / CCU,07:05,09:20,2:15,0,No Info,6,3,2019,7,5,9,20,2,15,7414
Multiple carriers,6/05/2019,Delhi,Cochin,DEL / BOM / COK,19:00,01:30,6:30,1,No Info,6,5,2019,19,0,1,30,6,30,8073
Vistara,6/03/2019,Mumbai,Hyderabad,BOM / DEL / HYD,15:40,16:45,25:5,1,No Info,6,3,2019,15,40,16,45,25,5,12395
Air India,6/06/2019,Kolkata,Banglore,CCU / BOM / BLR,09:25,21:50,12:25,1,No Info,6,6,2019,9,25,21,50,12,25,8366
Air India,3/04/2019,Delhi,Cochin,DEL / MAA / COK,06:05,09:25,27:20,1,No Info,3,4,2019,6,5,9,25,27,20,5117
Multiple carriers,3/06/2019,Delhi,Cochin,DEL / BOM / COK,08:45,19:00,10:15,1,No Info,3,6,2019,8,45,19,0,10,15,12524
IndiGo,15/05/2019,Delhi,Cochin,DEL / BOM / COK,15:00,01:30,10:30,1,No Info,15,5,2019,15,0,1,30,10,30,7191
Vistara,24/05/2019,Chennai,Kolkata,MAA / CCU,07:05,09:20,2:15,0,No Info,24,5,2019,7,5,9,20,2,15,3687
IndiGo,24/06/2019,Delhi,Cochin,DEL / BOM / COK,10:35,21:00,10:25,1,No Info,24,6,2019,10,35,21,0,10,25,5894
Vistara,24/04/2019,Banglore,Delhi,BLR / DEL,09:45,12:35,2:50,0,No Info,24,4,2019,9,45,12,35,2,50,5403
Air India,6/05/2019,Mumbai,Hyderabad,BOM / HYD,13:55,15:25,1:30,0,No Info,6,5,2019,13,55,15,25,1,30,3625
Air India,21/05/2019,Delhi,Cochin,DEL / BHO / BOM / COK,05:55,19:15,13:20,2,No Info,21,5,2019,5,55,19,15,13,20,10861
IndiGo,12/03/2019,Chennai,Kolkata,MAA / CCU,13:20,15:35,2:15,0,No Info,12,3,2019,13,20,15,35,2,15,6297
Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM / HYD,07:05,08:30,1:25,0,No Info,1,6,2019,7,5,8,30,1,25,5678
Jet Airways,09/03/2019,Banglore,New Delhi,BLR / BOM / DEL,05:45,08:15,26:30,1,In-flight meal not included,9,3,2019,5,45,8,15,26,30,9134
Multiple carriers,24/06/2019,Delhi,Cochin,DEL / BOM / COK,11:40,19:00,7:20,1,In-flight meal not included,24,6,2019,11,40,19,0,7,20,10791
Jet Airways,24/06/2019,Delhi,Cochin,DEL / AMD / BOM / COK,23:05,12:35,13:30,2,No Info,24,6,2019,23,5,12,35,13,30,12819
IndiGo,21/03/2019,Delhi,Cochin,DEL / BLR / COK,05:05,10:05,5h,1,No Info,21,3,2019,5,5,10,5,5,0,6893
Vistara,09/03/2019,Banglore,New Delhi,BLR / DEL,09:50,12:35,2:45,0,No Info,9,3,2019,9,50,12,35,2,45,7240
GoAir,3/04/2019,Banglore,Delhi,BLR / DEL,11:40,14:30,2:50,0,No Info,3,4,2019,11,40,14,30,2,50,3898
IndiGo,3/04/2019,Mumbai,Hyderabad,BOM / HYD,06:25,07:55,1:30,0,No Info,3,4,2019,6,25,7,55,1,30,4049
Jet Airways,15/06/2019,Delhi,Cochin,DEL / BOM / COK,17:30,12:35,19:5,1,In-flight meal not included,15,6,2019,17,30,12,35,19,5,10262
SpiceJet,21/03/2019,Chennai,Kolkata,MAA / CCU,08:20,10:35,2:15,0,No check-in baggage included,21,3,2019,8,20,10,35,2,15,3332
Jet Airways,9/06/2019,Kolkata,Banglore,CCU / BOM / BLR,21:10,12:00,14:50,1,In-flight meal not included,9,6,2019,21,10,12,0,14,50,10844
Jet Airways,24/03/2019,Banglore,New Delhi,BLR / DEL,19:55,22:35,2:40,0,No Info,24,3,2019,19,55,22,35,2,40,7229
Jet Airways,6/05/2019,Kolkata,Banglore,CCU / BOM / BLR,06:30,04:40,22:10,1,No Info,6,5,2019,6,30,4,40,22,10,13941
IndiGo,27/06/2019,Delhi,Cochin,DEL / BOM / COK,11:25,21:00,9:35,1,No Info,27,6,2019,11,25,21,0,9,35,5894
Multiple carriers,18/05/2019,Delhi,Cochin,DEL / BOM / COK,09:00,19:00,10h,1,No Info,18,5,2019,9,0,19,0,10,0,10197
Jet Airways,06/03/2019,Banglore,New Delhi,BLR / BOM / DEL,14:05,11:25,21:20,1,In-flight meal not included,6,3,2019,14,5,11,25,21,20,13712
IndiGo,24/06/2019,Delhi,Cochin,DEL / MAA / COK,02:00,07:25,5:25,1,No Info,24,6,2019,2,0,7,25,5,25,5636
Jet Airways,6/06/2019,Delhi,Cochin,DEL / JAI / BOM / COK,09:40,04:25,18:45,2,No Info,6,6,2019,9,40,4,25,18,45,13014
Jet Airways,1/04/2019,Kolkata,Banglore,CCU / BOM / BLR,08:25,20:45,12:20,1,In-flight meal not included,1,4,2019,8,25,20,45,12,20,7064
Jet Airways,24/05/2019,Kolkata,Banglore,CCU / DEL / BLR,20:25,14:25,18h,1,In-flight meal not included,24,5,2019,20,25,14,25,18,0,10703
Multiple carriers,27/05/2019,Delhi,Cochin,DEL / HYD / COK,13:15,22:30,9:15,1,No Info,27,5,2019,13,15,22,30,9,15,9646
Multiple carriers,6/03/2019,Delhi,Cochin,DEL / BOM / COK,02:15,13:20,11:5,1,No Info,6,3,2019,2,15,13,20,11,5,17057
Jet Airways,12/03/2019,Banglore,New Delhi,BLR / BOM / DEL,16:55,10:25,17:30,1,No Info,12,3,2019,16,55,10,25,17,30,13817
Air India,6/03/2019,Delhi,Cochin,DEL / BHO / BOM / COK,05:55,19:15,13:20,2,No Info,6,3,2019,5,55,19,15,13,20,13748
Air India,21/04/2019,Kolkata,Banglore,CCU / BLR,20:45,23:20,2:35,0,No Info,21,4,2019,20,45,23,20,2,35,4880
IndiGo,21/06/2019,Chennai,Kolkata,MAA / CCU,05:15,07:40,2:25,0,No Info,21,6,2019,5,15,7,40,2,25,3540
SpiceJet,15/05/2019,Banglore,Delhi,BLR / DEL,05:55,08:35,2:40,0,No check-in baggage included,15,5,2019,5,55,8,35,2,40,3257
Jet Airways,3/06/2019,Banglore,Delhi,BLR / DEL,19:50,22:50,3h,0,In-flight meal not included,3,6,2019,19,50,22,50,3,0,6478
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM / HYD,07:05,08:30,1:25,0,No Info,18,6,2019,7,5,8,30,1,25,8040
Jet Airways,12/06/2019,Delhi,Cochin,DEL / ATQ / BOM / COK,20:00,12:35,16:35,2,No Info,12,6,2019,20,0,12,35,16,35,14300
Jet Airways,15/05/2019,Kolkata,Banglore,CCU / BOM / BLR,08:25,20:45,12:20,1,No Info,15,5,2019,8,25,20,45,12,20,14781
Jet Airways,9/06/2019,Kolkata,Banglore,CCU / BOM / BLR,20:00,08:15,12:15,1,No Info,9,6,2019,20,0,8,15,12,15,14939
Jet Airways,24/06/2019,Delhi,Cochin,DEL / BOM / COK,20:55,04:25,7:30,1,In-flight meal not included,24,6,2019,20,55,4,25,7,30,10262
Air India,12/05/2019,Kolkata,Banglore,CCU / MAA / BLR,14:35,14:35,24h,1,No Info,12,5,2019,14,35,14,35,24,0,6528
Air India,1/05/2019,Banglore,Delhi,BLR / DEL,06:10,08:55,2:45,0,No Info,1,5,2019,6,10,8,55,2,45,6121
Jet Airways,18/05/2019,Delhi,Cochin,DEL / JAI / BOM / COK,19:30,04:25,8:55,2,In-flight meal not included,18,5,2019,19,30,4,25,8,55,13029
Multiple carriers,27/03/2019,Delhi,Cochin,DEL / BOM / COK,11:40,18:50,7:10,1,No Info,27,3,2019,11,40,18,50,7,10,11421
Multiple carriers,27/03/2019,Delhi,Cochin,DEL / BOM / COK,04:45,19:15,14:30,1,No Info,27,3,2019,4,45,19,15,14,30,7574
Air India,9/05/2019,Delhi,Cochin,DEL / JDH / BOM / COK,12:55,19:15,30:20,2,No Info,9,5,2019,12,55,19,15,30,20,11596
Jet Airways,24/05/2019,Delhi,Cochin,DEL / AMD / BOM / COK,23:05,19:00,19:55,2,No Info,24,5,2019,23,5,19,0,19,55,15129
Jet Airways,18/03/2019,Banglore,New Delhi,BLR / BOM / DEL,14:05,05:05,15h,1,No Info,18,3,2019,14,5,5,5,15,0,13555
IndiGo,12/04/2019,Banglore,Delhi,BLR / DEL,18:55,21:50,2:55,0,No Info,12,4,2019,18,55,21,50,2,55,5780
Vistara,12/05/2019,Kolkata,Banglore,CCU / DEL / BLR,20:20,09:05,12:45,1,No Info,12,5,2019,20,20,9,5,12,45,9397
Jet Airways,6/03/2019,Delhi,Cochin,DEL / BOM / COK,18:15,04:25,10:10,1,No Info,6,3,2019,18,15,4,25,10,10,17024
GoAir,27/06/2019,Delhi,Cochin,DEL / BOM / COK,07:00,12:55,5:55,1,No Info,27,6,2019,7,0,12,55,5,55,5281
Multiple carriers,18/05/2019,Delhi,Cochin,DEL / HYD / COK,07:05,22:30,15:25,1,No Info,18,5,2019,7,5,22,30,15,25,10348
Air India,6/03/2019,Delhi,Cochin,DEL / MAA / COK,17:20,09:25,16:5,1,No Info,6,3,2019,17,20,9,25,16,5,12677
Multiple carriers,3/03/2019,Delhi,Cochin,DEL / BOM / COK,15:25,01:35,10:10,1,No Info,3,3,2019,15,25,1,35,10,10,15147
Vistara,12/06/2019,Banglore,Delhi,BLR / DEL,07:00,09:40,2:40,0,No Info,12,6,2019,7,0,9,40,2,40,4668
Jet Airways,9/05/2019,Delhi,Cochin,DEL / BOM / COK,07:05,19:00,11:55,1,No Info,9,5,2019,7,5,19,0,11,55,15554
SpiceJet,9/04/2019,Banglore,Delhi,BLR / DEL,05:55,08:35,2:40,0,No Info,9,4,2019,5,55,8,35,2,40,3971
Air India,3/05/2019,Mumbai,Hyderabad,BOM / HYD,15:00,16:25,1:25,0,No Info,3,5,2019,15,0,16,25,1,25,3100
Jet Airways,6/05/2019,Kolkata,Banglore,CCU / BOM / BLR,20:00,10:05,14:5,1,In-flight meal not included,6,5,2019,20,0,10,5,14,5,9663
Air India,1/03/2019,Delhi,Cochin,DEL / BOM / COK,23:00,19:15,20:15,1,No Info,1,3,2019,23,0,19,15,20,15,27430
IndiGo,12/05/2019,Chennai,Kolkata,MAA / CCU,05:15,07:40,2:25,0,No Info,12,5,2019,5,15,7,40,2,25,3540
Air India,21/05/2019,Kolkata,Banglore,CCU / BBI / BOM / BLR,12:00,11:10,23:10,2,No Info,21,5,2019,12,0,11,10,23,10,10676
Jet Airways,12/06/2019,Kolkata,Banglore,CCU / BOM / BLR,14:05,08:15,18:10,1,No Info,12,6,2019,14,5,8,15,18,10,13044
Jet Airways,6/05/2019,Kolkata,Banglore,CCU / BOM / BLR,20:00,12:00,16h,1,No Info,6,5,2019,20,0,12,0,16,0,14388
IndiGo,24/06/2019,Banglore,Delhi,BLR / DEL,04:00,06:50,2:50,0,No Info,24,6,2019,4,0,6,50,2,50,3943
IndiGo,3/06/2019,Chennai,Kolkata,MAA / CCU,14:45,17:05,2:20,0,No Info,3,6,2019,14,45,17,5,2,20,3597
Air India,21/03/2019,Banglore,New Delhi,BLR / MAA / DEL,11:50,19:50,8h,1,No Info,21,3,2019,11,50,19,50,8,0,5932
Jet Airways,15/06/2019,Delhi,Cochin,DEL / BOM / COK,11:30,04:25,16:55,1,In-flight meal not included,15,6,2019,11,30,4,25,16,55,10262
Vistara,12/05/2019,Delhi,Cochin,DEL / COK,14:40,17:50,3:10,0,No Info,12,5,2019,14,40,17,50,3,10,6216
IndiGo,15/06/2019,Kolkata,Banglore,CCU / BLR,20:25,23:10,2:45,0,No Info,15,6,2019,20,25,23,10,2,45,4804
Multiple carriers,21/05/2019,Delhi,Cochin,DEL / BOM / COK,11:30,01:30,14h,1,No Info,21,5,2019,11,30,1,30,14,0,14067
Jet Airways,18/05/2019,Delhi,Cochin,DEL / AMD / BOM / COK,19:10,19:00,23:50,2,No Info,18,5,2019,19,10,19,0,23,50,15129
Jet Airways,6/06/2019,Delhi,Cochin,DEL / NAG / BOM / COK,06:45,04:25,21:40,2,No Info,6,6,2019,6,45,4,25,21,40,13376
Air India,27/06/2019,Delhi,Cochin,DEL / GOI / BOM / COK,22:00,19:15,21:15,2,No Info,27,6,2019,22,0,19,15,21,15,10441
Jet Airways,24/05/2019,Banglore,Delhi,BLR / DEL,06:00,08:45,2:45,0,In-flight meal not included,24,5,2019,6,0,8,45,2,45,4030
Jet Airways,3/03/2019,Delhi,Cochin,DEL / BOM / COK,08:00,18:50,10:50,1,No Info,3,3,2019,8,0,18,50,10,50,17024
Multiple carriers,9/04/2019,Delhi,Cochin,DEL / BOM / COK,17:30,01:30,8h,1,No Info,9,4,2019,17,30,1,30,8,0,13017
GoAir,6/06/2019,Kolkata,Banglore,CCU / BOM / BLR,23:30,07:45,8:15,1,No Info,6,6,2019,23,30,7,45,8,15,6686
IndiGo,15/06/2019,Delhi,Cochin,DEL / MAA / COK,02:00,07:25,5:25,1,No Info,15,6,2019,2,0,7,25,5,25,5636
IndiGo,9/06/2019,Delhi,Cochin,DEL / HYD / COK,07:35,16:10,8:35,1,No Info,9,6,2019,7,35,16,10,8,35,6442
Multiple carriers,21/05/2019,Delhi,Cochin,DEL / HYD / COK,13:05,00:55,11:50,1,No Info,21,5,2019,13,5,0,55,11,50,9486
Jet Airways,21/05/2019,Kolkata,Banglore,CCU / BOM / BLR,20:00,23:35,27:35,1,In-flight meal not included,21,5,2019,20,0,23,35,27,35,10844
Jet Airways,3/06/2019,Delhi,Cochin,DEL / ATQ / BOM / COK,20:00,04:25,8:25,2,In-flight meal not included,3,6,2019,20,0,4,25,8,25,15318
Air India,3/04/2019,Delhi,Cochin,DEL / MAA / COK,12:30,09:25,20:55,1,No Info,3,4,2019,12,30,9,25,20,55,5117
IndiGo,24/06/2019,Delhi,Cochin,DEL / BLR / COK,15:10,20:00,4:50,1,No Info,24,6,2019,15,10,20,0,4,50,6147
Multiple carriers,9/06/2019,Delhi,Cochin,DEL / BOM / COK,12:50,21:00,8:10,1,No Info,9,6,2019,12,50,21,0,8,10,7005
SpiceJet,3/04/2019,Kolkata,Banglore,CCU / BLR,22:20,00:40,2:20,0,No Info,3,4,2019,22,20,0,40,2,20,3873
Jet Airways,21/03/2019,Delhi,Cochin,DEL / BDQ / BOM / COK,18:25,18:50,24:25,2,In-flight meal not included,21,3,2019,18,25,18,50,24,25,9270
GoAir,27/06/2019,Banglore,Delhi,BLR / DEL,11:40,14:30,2:50,0,No Info,27,6,2019,11,40,14,30,2,50,3898
Jet Airways,12/05/2019,Kolkata,Banglore,CCU / BOM / BLR,08:25,20:45,12:20,1,No Info,12,5,2019,8,25,20,45,12,20,14781
Jet Airways,24/05/2019,Kolkata,Banglore,CCU / BOM / BLR,20:00,08:15,12:15,1,In-flight meal not included,24,5,2019,20,0,8,15,12,15,8586
Air India,9/05/2019,Kolkata,Banglore,CCU / JAI / BOM / BLR,08:20,07:55,23:35,2,No Info,9,5,2019,8,20,7,55,23,35,10697
Jet Airways,27/06/2019,Delhi,Cochin,DEL / ATQ / BOM / COK,20:00,12:35,16:35,2,No Info,27,6,2019,20,0,12,35,16,35,14300
IndiGo,03/03/2019,Banglore,New Delhi,BLR / DEL,18:55,21:45,2:50,0,No Info,3,3,2019,18,55,21,45,2,50,8855
Jet Airways,12/05/2019,Kolkata,Banglore,CCU / BOM / BLR,16:30,18:15,25:45,1,In-flight meal not included,12,5,2019,16,30,18,15,25,45,10844
Jet Airways,6/03/2019,Delhi,Cochin,DEL / BOM / COK,02:15,04:25,26:10,1,No Info,6,3,2019,2,15,4,25,26,10,17024
Jet Airways,1/05/2019,Kolkata,Banglore,CCU / DEL / BLR,09:35,14:25,28:50,1,In-flight meal not included,1,5,2019,9,35,14,25,28,50,9314
IndiGo,24/03/2019,Banglore,New Delhi,BLR / DEL,00:40,03:25,2:45,0,No Info,24,3,2019,0,40,3,25,2,45,4777
Air India,9/06/2019,Kolkata,Banglore,CCU / BBI / BLR,12:00,13:15,25:15,1,No Info,9,6,2019,12,0,13,15,25,15,7662
IndiGo,9/05/2019,Delhi,Cochin,DEL / HYD / COK,06:50,16:10,9:20,1,No Info,9,5,2019,6,50,16,10,9,20,6442
SpiceJet,12/06/2019,Delhi,Cochin,DEL / PNQ / COK,08:45,13:15,4:30,1,No Info,12,6,2019,8,45,13,15,4,30,5264
Jet Airways,27/05/2019,Delhi,Cochin,DEL / BOM / COK,13:00,04:25,15:25,1,In-flight meal not included,27,5,2019,13,0,4,25,15,25,12898
Air India,3/03/2019,Mumbai,Hyderabad,BOM / HYD,13:55,15:25,1:30,0,No Info,3,3,2019,13,55,15,25,1,30,6092
SpiceJet,21/05/2019,Banglore,Delhi,BLR / DEL,05:55,08:35,2:40,0,No Info,21,5,2019,5,55,8,35,2,40,3311
Jet Airways,27/03/2019,Delhi,Cochin,DEL / BOM / COK,19:15,04:25,9:10,1,In-flight meal not included,27,3,2019,19,15,4,25,9,10,6540
IndiGo,27/05/2019,Banglore,Delhi,BLR / DEL,01:30,04:15,2:45,0,No Info,27,5,2019,1,30,4,15,2,45,3419
Jet Airways,3/04/2019,Delhi,Cochin,DEL / BOM / COK,14:00,12:35,22:35,1,In-flight meal not included,3,4,2019,14,0,12,35,22,35,5177
Air India,18/04/2019,Delhi,Cochin,DEL / COK,18:05,21:10,3:5,0,No Info,18,4,2019,18,5,21,10,3,5,8246
Jet Airways,9/06/2019,Kolkata,Banglore,CCU / DEL / BLR,09:35,21:05,11:30,1,No Info,9,6,2019,9,35,21,5,11,30,14676
Multiple carriers,27/06/2019,Delhi,Cochin,DEL / BOM / COK,11:30,21:00,9:30,1,No Info,27,6,2019,11,30,21,0,9,30,13587
Jet Airways,6/05/2019,Kolkata,Banglore,CCU / BOM / BLR,21:10,09:20,12:10,1,In-flight meal not included,6,5,2019,21,10,9,20,12,10,9663
Jet Airways,12/06/2019,Kolkata,Banglore,CCU / BOM / BLR,16:30,10:05,17:35,1,No Info,12,6,2019,16,30,10,5,17,35,13044
IndiGo,3/04/2019,Delhi,Cochin,DEL / BOM / COK,20:25,01:30,5:5,1,No Info,3,4,2019,20,25,1,30,5,5,5073
Vistara,21/05/2019,Kolkata,Banglore,CCU / DEL / BLR,17:00,18:50,25:50,1,No Info,21,5,2019,17,0,18,50,25,50,9345
Jet Airways,6/05/2019,Kolkata,Banglore,CCU / BOM / BLR,14:05,10:05,20h,1,In-flight meal not included,6,5,2019,14,5,10,5,20,0,9663
Multiple carriers,21/05/2019,Delhi,Cochin,DEL / BOM / COK,08:00,21:00,13h,1,No Info,21,5,2019,8,0,21,0,13,0,14277
Jet Airways,1/06/2019,Delhi,Cochin,DEL / BOM / COK,10:00,04:25,18:25,1,In-flight meal not included,1,6,2019,10,0,4,25,18,25,10262
Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM / HYD,19:35,21:05,1:30,0,No Info,27,3,2019,19,35,21,5,1,30,5678
